Primary Category,Secondary Category,Tertiary Category,Merchant Name,Include Regex,Exclude Regex
Holiday,Accomodation,Hotels,Booking.com,\bbookings?\scom|\bbookingcom\b,
Holiday,Accomodation,Hotels,Hotels.com,hotels.?com,
Holiday,Accomodation,Hotels,Hotel,hotel,
Holiday,Accomodation,Hotels,Stayz,\bstayz,
Holiday,Accomodation,Motels,Motel,\bmotel\b,\bpet\smotel\b
Holiday,Accomodation,Camping,Hipcamp,hipcamp,
Holiday,Accomodation,Hotels,Airbnb,airbnb,
Holiday,Accomodation,Serviced Apartments,Meriton,meriton.*apar,
Holiday,Accomodation,Shared Accomodation,Accomodation,accom,
Fun,Amusement and Attractions,Amusement Parks,Theme Park,theme.*park,
Fun,Amusement and Attractions,Amusement Parks,Luna Park,luna\spark,
Fun,Amusement and Attractions,Amusement Parks,Movieworld,movieworld,
Fun,Amusement and Attractions,Amusement Parks,Scenic Park,scenic\sw,
Fun,Amusement and Attractions,Amusement Parks,Seaworld,seaworld,
Fun,Amusement and Attractions,Amusement Parks,Wet and Wild,wet\s?n\s?wild,
Fun,Amusement and Attractions,Aquariums,Aquarium,aquari,film(s)?
Fun,Amusement and Attractions,Aquariums,Aquarium,seahorse\s?world,
Fun,Amusement and Attractions,Aquariums,Aquarium,seal\sswim\skaikoura,
Fun,Amusement and Attractions,Aquariums,Aquarium,syd.*aquarium,
Fun,Amusement and Attractions,Art Galleries,Art Galleries,\bart\sgaller(y)?\b|\baquabumps\b|\bart\sgal\b,food|hotel
Fun,Amusement and Attractions,Art Galleries,Art Galleries,portrait\sgallery\b,
Fun,Amusement and Attractions,Art Galleries,Art Galleries,\bthe\s?other\s?art\s?fair\b,
